sobject_id,apogee_id,match_key,match_method
151111002601293,2M03290433+1917019,03290433+1917019,2mass
170603007701301,2M22101948-1024027,22101948-1024027,2mass
170115004701228,2M06361898-6728345,06361898-6728345,2mass
170107004801034,2M07243776-7508026,07243776-7508026,2mass
160331002201323,2M09060464+2008484,09060464+2008484,2mass
170112003101060,2M07124124-7232377,07124124-7232377,2mass
151008002101146,2M19295382-2813599,19295382-2813599,2mass
171031003301315,2M06153814-1838576,06153814-1838576,2mass
150603004801294,2M22262832-1030162,22262832-1030162,2mass
170115002701264,2M06500549-6023448,06500549-6023448,2mass
161217003601147,2M04575729-6608387,04575729-6608387,2mass
160531004601062,2M19214381-2911365,19214381-2911365,2mass
171031003301108,2M06150856-1915592,06150856-1915592,2mass
170114002601373,2M05424558-5844509,05424558-5844509,2mass
221225002701029,2M06282266+0544522,06282266+0544522,2mass
170109003801255,2M07152481-6727084,07152481-6727084,2mass
200529001801170,2M12035757-0035018,12035757-0035018,2mass
161217001601288,2M04152123-6827542,04152123-6827542,2mass
160401005401214,2M17200757-2354044,17200757-2354044,2mass
200824001301293,2M23130272-0010001,23130272-0010001,2mass
170108003301390,2M07373773-6322362,07373773-6322362,2mass
161217005601237,2M07393898-6201256,07393898-6201256,2mass
210125002201064,2M07260944-2629166,07260944-2629166,2mass
210920001601315,2M18502024-3029428,18502024-3029428,2mass
200529001801024,2M12083487-0029123,12083487-0029123,2mass
170112001601005,2M05123267-6402168,05123267-6402168,2mass
170107002101189,2M04570471-7255080,04570471-7255080,2mass
230801001601226,2M17403522-5339428,17403522-5339428,2mass
170114003601227,2M06514807-5838157,06514807-5838157,2mass
210711004401372,2M23264685-0848585,23264685-0848585,2mass
170115002701149,2M06480327-6149207,06480327-6149207,2mass
131217004401382,2M08514234+1150076,08514234+1150076,2mass
160813005101331,2M06570378-2928536,06570378-2928536,2mass
220714004901072,2M23350034-0812496,23350034-0812496,2mass
171230003601090,2M05420780-5530028,05420780-5530028,2mass
170111001601017,2M07291998-6628305,07291998-6628305,2mass
160531004601303,2M19202690-2806009,19202690-2806009,2mass
230801001601081,2M17404221-5341230,17404221-5341230,2mass
170107002601014,2M05515242-7634549,05515242-7634549,2mass
170603007701102,2M22101013-1122315,22101013-1122315,2mass
151219002601242,2M04123663-6311302,04123663-6311302,2mass
170116001601344,2M06393834-6122170,06393834-6122170,2mass
171227002601264,2M05112232-7026032,05112232-7026032,2mass
