filename,fits_file,hip,instrument,url,status
HIP14954_ESPADONS_1_R42KNorm.fits.gz,HIP14954_ESPADONS_1_R42KNorm.fits,HIP14954,ESPADONS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14954_ESPADONS_1_R42KNorm.fits.gz,downloaded
HIP14954_HARPS_1_R42KNorm.fits.gz,HIP14954_HARPS_1_R42KNorm.fits,HIP14954,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14954_HARPS_1_R42KNorm.fits.gz,downloaded
HIP14954_NARVAL_1_R42KNorm.fits.gz,HIP14954_NARVAL_1_R42KNorm.fits,HIP14954,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14954_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP14954_UVES_1_R42KNorm.fits.gz,HIP14954_UVES_1_R42KNorm.fits,HIP14954,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14954_UVES_1_R42KNorm.fits.gz,downloaded
HIP15457_FEROS_1_R42KNorm.fits.gz,HIP15457_FEROS_1_R42KNorm.fits,HIP15457,FEROS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP15457_FEROS_1_R42KNorm.fits.gz,downloaded
HIP15457_NARVAL_1_R42KNorm.fits.gz,HIP15457_NARVAL_1_R42KNorm.fits,HIP15457,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP15457_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP15457_UVES_1_R42KNorm.fits.gz,HIP15457_UVES_1_R42KNorm.fits,HIP15457,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP15457_UVES_1_R42KNorm.fits.gz,downloaded
HIP15776_ESPADONS_1_R42KNorm.fits.gz,HIP15776_ESPADONS_1_R42KNorm.fits,HIP15776,ESPADONS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP15776_ESPADONS_1_R42KNorm.fits.gz,downloaded
HIP15776_HARPS_1_R42KNorm.fits.gz,HIP15776_HARPS_1_R42KNorm.fits,HIP15776,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP15776_HARPS_1_R42KNorm.fits.gz,downloaded
HIP15776_NARVAL_1_R42KNorm.fits.gz,HIP15776_NARVAL_1_R42KNorm.fits,HIP15776,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP15776_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP15776_UVES_1_R42KNorm.fits.gz,HIP15776_UVES_1_R42KNorm.fits,HIP15776,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP15776_UVES_1_R42KNorm.fits.gz,downloaded
